accDefRate,dPntCnt,gPntCnt,hPntCnt,accExamCnt,statusTime,uPntCnt,resutlNegCnt,statusDt,accExamCompCnt,careCnt
3.234501348,0,0,12,371,00:00,0,359,20200201,371,12
3.496503497,0,0,15,429,00:00,0,414,20200202,429,15
3.06122449,0,0,15,490,00:00,0,475,20200203,490,15
2.635914333,0,0,16,607,00:00,0,591,20200204,607,16
3.115727003,0,0,21,714,19:00,40,653,20200205,674,21
3.351955307,0,0,24,885,09:00,169,692,20200206,716,24
2.98879203,2,0,24,1130,16:00,327,779,20200207,803,22
2.220166512,2,0,24,1701,16:00,620,1057,20200208,1081,22
1.859504132,2,0,27,2340,16:00,888,1425,20200209,1452,25
1.247216036,3,0,28,2776,16:00,531,2217,20200210,2245,25
0.976630624,4,0,28,3629,16:00,762,2839,20200211,2867,24
0.652832828,4,0,28,5074,16:00,785,4261,20200212,4289,24
0.534861509,7,0,28,5797,16:00,562,5207,20200213,5235,21
0.443108087,7,0,28,6854,16:00,535,6291,20200214,6319,21
0.402241057,7,0,28,7519,16:00,558,6933,20200215,6961,21
0.403551251,9,0,30,7919,16:00,485,7404,20200216,7434,21
0.401983117,9,0,30,8171,16:00,708,7433,20200217,7463,21
0.378832722,10,0,32,9265,16:00,818,8415,20200218,8447,22
0.712589074,12,0,66,10411,16:00,1149,9196,20200219,9262,54
0.796039219,16,1,82,12161,16:00,1860,10219,20200220,10301,65
1.340666896,16,1,156,14816,16:00,3180,11480,20200221,11636,139
2.547114252,17,3,346,19621,16:00,6037,13238,20200222,13584,326
3.814489572,17,3,556,22633,16:00,8057,14020,20200223,14576,536
4.492463495,17,7,763,28615,16:00,11631,16221,20200224,16984,739
3.910492205,21,8,893,36716,00:00,13880,21943,20200225,22836,864
4.509857936,21,11,1146,46127,00:00,20716,24265,20200226,25411,1114
4.919499106,23,12,1595,57990,00:00,25568,30827,20200227,32422,1560
4.967692799,25,13,2022,70940,00:00,30237,38681,20200228,40703,1984
5.802696442,26,16,2931,85693,00:00,35182,47580,20200229,50511,2889
5.541846758,28,17,3526,96985,00:00,33360,60099,20200301,63625,3481
5.557314756,30,23,4212,109591,00:00,33799,71580,20200302,75792,4159
5.329139718,34,28,4812,125851,00:00,35555,85484,20200303,90296,4750
4.919985595,40,32,5328,136707,00:00,28414,102965,20200304,108293,5256
4.622748154,86,35,5766,146541,00:00,21810,118965,20200305,124731,5645
4.397234584,106,42,6284,164740,00:00,21832,136624,20200306,142908,6136
4.267542836,115,44,6767,178189,00:00,19620,151802,20200307,158569,6608
4.21775786,126,50,7134,188518,00:00,19376,162008,20200308,169142,6958
4.120339361,159,51,7382,196618,00:00,17458,171778,20200309,179160,7172
3.919308057,232,54,7513,210144,00:00,18452,184179,20200310,191692,7227
3.804174536,272,60,7755,222395,00:00,18540,196100,20200311,203855,7423
3.621744273,318,66,7869,234998,00:00,17727,209402,20200312,217271,7485
3.458499309,490,67,7979,248647,00:00,17940,222728,20200313,230707,7422
3.318000336,690,72,8086,261335,00:00,17634,235615,20200314,243701,7324
3.239660237,807,75,8162,268212,00:00,16272,243778,20200315,251940,7280
3.173392208,1106,75,8236,274504,00:00,14971,251297,20200316,259533,7055
3.088057901,1362,81,8320,286716,00:00,17291,261105,20200317,269425,6877
3.012162506,1498,84,8413,295647,00:00,16346,270888,20200318,279301,6831
