누적확진율,격리해제,사망자수,확진자수,누적검사,검사중,결과음성,날짜,누적검사완료,치료중
25,0,0,1,4,0,3,2020-01-20,4,1
6.666666667,0,0,1,15,0,14,2020-01-21,15,1
4.761904762,0,0,1,21,0,20,2020-01-22,21,1
4,0,0,1,25,0,24,2020-01-23,25,1
6.896551724,0,0,2,29,0,27,2020-01-24,29,2
4.255319149,0,0,2,47,0,45,2020-01-25,47,2
5.357142857,0,0,3,56,0,53,2020-01-26,56,3
4.761904762,0,0,4,84,0,80,2020-01-27,84,4
2.919708029,0,0,4,137,0,133,2020-01-28,137,4
1.923076923,0,0,4,208,0,204,2020-01-29,208,4
2.545454545,0,0,7,275,0,268,2020-01-30,275,7
3.28358209,0,0,11,335,0,324,2020-01-31,335,11
3.234501348,0,0,12,371,0,359,2020-02-01,371,12
3.496503497,0,0,15,429,0,414,2020-02-02,429,15
3.06122449,0,0,15,490,0,475,2020-02-03,490,15
2.635914333,0,0,16,607,0,591,2020-02-04,607,16
3.115727003,0,0,21,714,40,653,2020-02-05,674,21
3.351955307,0,0,24,885,169,692,2020-02-06,716,24
2.98879203,2,0,24,1130,327,779,2020-02-07,803,22
2.220166512,2,0,24,1701,620,1057,2020-02-08,1081,22
1.859504132,2,0,27,2340,888,1425,2020-02-09,1452,25
1.247216036,3,0,28,2776,531,2217,2020-02-10,2245,25
0.976630624,4,0,28,3629,762,2839,2020-02-11,2867,24
0.652832828,4,0,28,5074,785,4261,2020-02-12,4289,24
0.534861509,7,0,28,5797,562,5207,2020-02-13,5235,21
0.443108087,7,0,28,6854,535,6291,2020-02-14,6319,21
0.402241057,7,0,28,7519,558,6933,2020-02-15,6961,21
0.403551251,9,0,30,7919,485,7404,2020-02-16,7434,21
0.401983117,9,0,30,8171,708,7433,2020-02-17,7463,21
0.378832722,10,0,32,9265,818,8415,2020-02-18,8447,22
0.712589074,12,0,66,10411,1149,9196,2020-02-19,9262,54
0.796039219,16,1,82,12161,1860,10219,2020-02-20,10301,65
1.340666896,16,1,156,14816,3180,11480,2020-02-21,11636,139
2.547114252,17,3,346,19621,6037,13238,2020-02-22,13584,326
3.814489572,17,3,556,22633,8057,14020,2020-02-23,14576,536
4.492463495,17,7,763,28615,11631,16221,2020-02-24,16984,739
3.910492205,21,8,893,36716,13880,21943,2020-02-25,22836,864
4.509857936,21,11,1146,46127,20716,24265,2020-02-26,25411,1114
4.919499106,23,12,1595,57990,25568,30827,2020-02-27,32422,1560
4.967692799,25,13,2022,70940,30237,38681,2020-02-28,40703,1984
5.802696442,26,16,2931,85693,35182,47580,2020-02-29,50511,2889
5.541846758,28,17,3526,96985,33360,60099,2020-03-01,63625,3481
5.557314756,30,23,4212,109591,33799,71580,2020-03-02,75792,4159
5.329139718,34,28,4812,125851,35555,85484,2020-03-03,90296,4750
4.919985595,40,32,5328,136707,28414,102965,2020-03-04,108293,5256
4.622748154,86,35,5766,146541,21810,118965,2020-03-05,124731,5645
4.397234584,106,42,6284,164740,21832,136624,2020-03-06,142908,6136
4.267542836,115,44,6767,178189,19620,151802,2020-03-07,158569,6608
4.21775786,126,50,7134,188518,19376,162008,2020-03-08,169142,6958
4.120339361,159,51,7382,196618,17458,171778,2020-03-09,179160,7172
3.919308057,232,54,7513,210144,18452,184179,2020-03-10,191692,7227
3.804174536,272,60,7755,222395,18540,196100,2020-03-11,203855,7423
3.621744273,318,66,7869,234998,17727,209402,2020-03-12,217271,7485
3.458499309,490,67,7979,248647,17940,222728,2020-03-13,230707,7422
3.318000336,690,72,8086,261335,17634,235615,2020-03-14,243701,7324
3.239660237,807,75,8162,268212,16272,243778,2020-03-15,251940,7280
3.173392208,1106,75,8236,274504,14971,251297,2020-03-16,259533,7055
3.088057901,1362,81,8320,286716,17291,261105,2020-03-17,269425,6877
3.012162506,1498,84,8413,295647,16346,270888,2020-03-18,279301,6831
2.942085738,1896,91,8565,307024,15904,282555,2020-03-19,291120,6578
2.873091828,2173,94,8652,316664,15525,292487,2020-03-20,301139,6385
2.82195603,2536,102,8799,327509,15704,303006,2020-03-21,311805,6161
2.804501324,2817,104,8897,331780,14540,308343,2020-03-22,317240,5976
2.762262336,3065,111,8961,338036,13628,315447,2020-03-23,324408,5785
