Stock Name,Time,Now,Contrast,Per,AskPrice,BidPrice,Strength,Trading,Execution
CJ ENM,155443,54500,-1200,-2.15,54600,54500,58.05,86152,1
CJ ENM,155401,54500,-1200,-2.15,54600,54500,58.05,86151,3
CJ ENM,155033,54500,-1200,-2.15,54600,54500,58.05,86148,1
CJ ENM,154951,54500,-1200,-2.15,54600,54500,58.05,86147,26
CJ ENM,154905,54500,-1200,-2.15,54600,54500,58.08,86121,83
CJ ENM,154750,54500,-1200,-2.15,54600,54500,58.17,86038,10
CJ ENM,154611,54500,-1200,-2.15,54600,54500,58.19,86028,10
CJ ENM,154356,54500,-1200,-2.15,54600,54500,58.20,86018,1
CJ ENM,154337,54500,-1200,-2.15,54600,54500,58.20,86017,5
CJ ENM,154235,54500,-1200,-2.15,54600,54500,58.20,86012,1
CJ ENM,154202,54500,-1200,-2.15,54600,54500,58.20,86011,1
CJ ENM,154000,54500,-1200,-2.15,54600,54500,58.21,86010,5
CJ ENM,153015,54500,-1200,-2.15,54600,54500,58.21,86005,2072
CJ ENM,151949,54500,-1200,-2.15,54600,54500,58.21,83933,4
CJ ENM,151948,54500,-1200,-2.15,54600,54500,58.21,83929,30
CJ ENM,151944,54500,-1200,-2.15,54600,54500,58.24,83899,1
CJ ENM,151938,54500,-1200,-2.15,54600,54500,58.24,83898,4
CJ ENM,151917,54500,-1200,-2.15,54600,54500,58.25,83894,5
CJ ENM,151914,54500,-1200,-2.15,54600,54500,58.25,83889,1
CJ ENM,151914,54600,-1100,-1.97,54600,54500,58.26,83888,16
CJ ENM,151910,54500,-1200,-2.15,54600,54500,58.22,83872,20
CJ ENM,151843,54600,-1100,-1.97,54600,54500,58.25,83852,5
CJ ENM,151841,54500,-1200,-2.15,54600,54500,58.24,83847,5
CJ ENM,151834,54600,-1100,-1.97,54600,54500,58.24,83842,4
CJ ENM,151830,54600,-1100,-1.97,54600,54500,58.24,83838,16
CJ ENM,151830,54600,-1100,-1.97,54700,54600,58.20,83822,55
CJ ENM,151829,54600,-1100,-1.97,54700,54600,58.27,83767,7
CJ ENM,151804,54600,-1100,-1.97,54700,54600,58.27,83760,25
CJ ENM,151804,54600,-1100,-1.97,54700,54600,58.30,83735,32
CJ ENM,151800,54600,-1100,-1.97,54700,54600,58.34,83703,1
