Stock Name,Date,Open,High,Low,Close,ChangeSign,Change,Trading
CJ프레시웨이,20180410,35800,36000,35100,35900,2,50,15272
CJ프레시웨이,20180409,35050,35900,35050,35850,3,0,14357
CJ프레시웨이,20180406,35600,36050,34900,35850,2,350,14562
CJ프레시웨이,20180405,35250,35750,35250,35500,2,100,8902
CJ프레시웨이,20180404,35500,35600,35000,35400,5,-150,17492
CJ프레시웨이,20180403,35000,35550,34600,35550,2,550,15975
CJ프레시웨이,20180402,35450,35800,34700,35000,5,-600,23055
CJ프레시웨이,20180330,35050,35850,35000,35600,2,250,9001
CJ프레시웨이,20180329,34400,35350,34250,35350,2,750,15030
CJ프레시웨이,20180328,33900,34600,33700,34600,2,300,13149
CJ프레시웨이,20180327,34400,34900,33800,34300,5,-400,19707
CJ프레시웨이,20180326,33050,34700,33050,34700,2,1050,23478
CJ프레시웨이,20180323,33900,34800,33650,33650,5,-950,26217
CJ프레시웨이,20180322,34450,35000,34300,34600,2,100,19829
CJ프레시웨이,20180321,34600,35400,34500,34500,5,-400,22371
CJ프레시웨이,20180320,35000,35250,34450,34900,5,-100,12787
CJ프레시웨이,20180319,35650,35800,34850,35000,5,-650,15061
CJ프레시웨이,20180316,35450,35700,35250,35650,5,-50,10722
CJ프레시웨이,20180315,35350,35700,35100,35700,2,150,9581
CJ프레시웨이,20180314,35750,35800,35350,35550,5,-550,11970
CJ프레시웨이,20180313,36500,36500,35850,36100,5,-350,21134
CJ프레시웨이,20180312,36100,36450,35600,36450,2,350,30664
CJ프레시웨이,20180309,36050,36600,35750,36100,2,250,20002
CJ프레시웨이,20180308,36000,36350,35700,35850,5,-200,13628
CJ프레시웨이,20180307,36000,36600,35650,36050,5,-150,18829
CJ프레시웨이,20180306,35950,36900,35800,36200,2,350,26735
CJ프레시웨이,20180305,36300,36800,35650,35850,5,-900,23086
CJ프레시웨이,20180302,36550,36750,35700,36750,2,50,23631
CJ프레시웨이,20180228,36650,37500,36650,36700,5,-750,21685
CJ프레시웨이,20180227,37850,38000,36900,37450,5,-350,17372
CJ프레시웨이,20180226,37600,37950,37400,37800,2,500,19665
CJ프레시웨이,20180223,37350,37500,36800,37300,5,-50,15048
CJ프레시웨이,20180222,37900,37950,36750,37350,5,-300,21149
CJ프레시웨이,20180221,37150,37900,36850,37650,2,200,23128
CJ프레시웨이,20180220,38200,38300,36900,37450,5,-750,24379
CJ프레시웨이,20180219,36800,38350,35950,38200,2,1050,53996
CJ프레시웨이,20180214,37450,37500,36350,37150,5,-400,32716
CJ프레시웨이,20180213,38600,38800,37550,37550,5,-1050,41154
CJ프레시웨이,20180212,36750,38700,36750,38600,2,1750,98031
CJ프레시웨이,20180209,36200,37400,35950,36850,5,-250,51295
CJ프레시웨이,20180208,35300,38100,35250,37100,2,2350,224485
CJ프레시웨이,20180207,35000,35100,34250,34750,2,250,42086
CJ프레시웨이,20180206,32900,34650,32150,34500,2,200,64789
CJ프레시웨이,20180205,35450,35450,34100,34300,5,-1300,54929
CJ프레시웨이,20180202,36100,36100,35200,35600,5,-350,29264
CJ프레시웨이,20180201,35250,36000,35250,35950,2,700,39858
CJ프레시웨이,20180131,35150,35500,34450,35250,2,50,39986
CJ프레시웨이,20180130,36050,36050,35200,35200,5,-850,57749
CJ프레시웨이,20180129,36000,36300,35650,36050,2,50,61317
CJ프레시웨이,20180126,35950,36100,35450,36000,2,50,53630
CJ프레시웨이,20180125,36050,36300,35500,35950,5,-100,43235
CJ프레시웨이,20180124,36100,36200,35550,36050,2,250,46199
CJ프레시웨이,20180123,35900,35900,35000,35800,2,150,22630
CJ프레시웨이,20180122,35900,36000,34850,35650,2,150,53089
CJ프레시웨이,20180119,35500,35800,35200,35500,2,300,31607
CJ프레시웨이,20180118,35450,35500,34800,35200,2,400,37954
CJ프레시웨이,20180117,34750,35300,34600,34800,2,200,37911
CJ프레시웨이,20180116,35000,35850,34300,34600,5,-350,92820
