대리점명,주소
도산,서울 서초구 양재동 225 도산대리점
강남수은대리점,경기 성남시 수정구 태평동 7295 301호
서울삼성,서울 서초구 양재대로12길 36 265호
강남선릉대리점,서울 서초구 양재동 225 CJ대한통운 강남2지사 강남선릉대리점
서울강남삼성집배점,경기 성남시 수정구 성남대로1209번길 3-7 502호
강남동아대리점,서울 서초구 양재대로12길 25 CJ대한통운택배 강남2지사 강남동아대리점
고덕,경북 경주시 현곡면 안현로 428-3 101-509
서울 강북 인수동,경기 양주시 광사동 684-14 301호
내발산대리점,경기 김포시 감정로38번길 16 105동1101호
강서등촌남부대리점,인천 계양구 양지말1길 16-5 드림스타빌 b동 501호
서울강서남,경기 고양시 덕양구 도래울로 85 203-1503
서울강서화곡본동,경기 김포시 김포한강2로 229 1층
화곡제일,서울 강서구 양천로 590 103동909호
일현 대리점,인천 서구 완정로117번길 3-3 212호
서울화곡,인천 서구 검단로623번길 62 동아그랑빌 102동 201호
서울 강서 까치산,인천 계양구 서운동 147-14 cj대한통운
뉴마곡,서울 강서구 공항대로 220 1003호
인헌대리점,서울 금천구 가산동 459-8 2층
서울관악뉴중앙,서울 금천구 가산동 459-8 2층
관악행운대리점,서울 관악구 행운길 23-4 1층
서울관악삼성대리점,서울 금천구 가산디지털2로 156 6층
서울관악서림,서울 금천구 가산디지털2로 156 6층
난곡대리점,서울 금천구 가산디지털2로 156 6층
서울광진건국대리점,서울 광진구 광나루로 486 102
광진세종군자대리점,서울 중랑구 상봉중앙로8가길 48-8 1층 102호 CJ대한통운군자대리점
디지털구로,경기 부천시 신흥로511번길 80 A동 M2층 일부
오류출장소,서울 구로구 경인로 20 19
서울신금천,서울 금천구 가산디지털1로 62 2층
서울 관악종앙대리점,서울 구로구 신도림로 16 301동1101
신시흥대리점,서울 금천구 가산디지털1로 5 1804호
장석인,서울 도봉구 방학로 193 신동아12-202
창동대리점,서울 도봉구 도봉로137길 31 상가 102호
성남중원다온,서울 동대문구 장한로28가길 64 402호
서울회기,서울 동대문구 약령중앙로 34-5 1층 씨제이대한통운 회기대리점
본동/보라매,서울 강서구 양천로 584 201호
서울서교,서울 은평구 은평터널로 60 104동
서울건영,서울 강서구 양천로 373 제일제당내 씨제이대한통운택배 서울건영 대리점
서울연희,경기 고양시 일산동구 공릉천로 441-39 36번창고
충현대리점,서울 서대문구 문화촌길 6-24 101-406
서초삼성,경기 군포시 대야미동 527-1 CJ대한통운 서초지사
양재제일,경기 군포시 대야미동 527-1 Cj대한통운
서울신청담대리점,서울 서초구 양재동 225 화물터미널안쪽 CJ대한통운 강남2지사내 서울신청담댈지ㅓㅁ
서울성동 신행당,경기 하남시 미사강변서로 167 1701동709호
서울신정릉,경기 구리시 장자호수길 125 105-601
서울강방이,경기 하남시 초이동 468 CJ대한통운 강방이대리점
서울 신방이대리점,서울 송파구 오금로27길 41 1층
송파수결대리점,경기 하남시 하사창동 304-1 다동
잠실롯데,서울 광진구 광나루로38길 24-5 3층
서울송파힘찬대리점,경기 하남시 하남대로284번길 76-23 2층
송파오륜건스,경기 하남시 초이동 468 뒷편창고동2층
양천목원,서울 양천구 신월동 20-36 나동202호
서울양천중앙,서울 양천구 목동동로 233-1 B119호
서울목동제일,서울 양천구 목동 121-4 cj대한통운 목동제일집배점
서울목동중앙,서울 영등포구 문래북로 33-1 서울용달협회제6지부
서울신정남부,서울 구로구 고척로47길 16-7 102호
신목동정현대리점,서울 양천구 신월동 532-14 우림나동201호
신월대성,서울 양천구 목동 923-14 드림타워 지하 B119호
서울뉴신월대리점,서울 양천구 신정로 293 101동905호
서울양평,서울 영등포구 양평동3가 57-3 103호 CJ대한통운 서울양평대리점
서울당산IFC,서울 구로구 오리로 1198 1
한강로3가대리점,서울 용산구 한강대로43길 13 6층 717로
서울신한남,서울 용산구 한남동 736-1 서울 신한남대리점
서울평창,서울 서대문구 세검정로4길 91
서울중랑중화한별,서울 동대문구 왕산로45길 34 302호
신내우리,서울 노원구 노원로1길 73-10 301호
